"","bodyid","pre","post","upstream","downstream","status","statusLabel","voxels","cropped","name","type","cellBodyFiber.x","notes","soma","ItoLee_Hemilineage","Hartenstein_Hemilineage","cellBodyFiber.y","cell.type","layer","ct.layer","FAFB.match","FAFB.match.quality","flywire.xyz","flywire.id","LM.match","LM.match.quality","CATMAID.nblast.top","flywire.nblast.top","User","note"
"29",5813044177,240,370,370,1462,"Traced","Roughly traced",560522313,FALSE,"M_lPNm11A_R","M_lPNm11A","AVM02","AL-mPN4 (Tanaka et al. JCN 2012) projection to LH/PLP; VP4++ lPN (Marin et al. Curr Biol 2020)",TRUE,"ALl1_dorsal","BAlc_dorsal","AVM02","M_lPNm11A",2.349,3,"57463","good","(123885.765, 58926.27, 2115)","720575940620121164",NA,NA,NA,NA,"ASB",NA
"30",819993149,177,212,212,1100,"Traced","Roughly traced",540126473,FALSE,"M_lPNm11A_R","M_lPNm11A","AVM02","AL-mPN4 (Tanaka et al. JCN 2012) projection to LH/PLP; VP4++ lPN (Marin et al. Curr Biol 2020)",TRUE,"ALl1_dorsal","BAlc_dorsal","AVM02","M_lPNm11A",2.756,3,"57430","good","(124963.6325, 57723.8175, 2329)","720575940625056826",NA,NA,NA,NA,"ASB",NA
"31",850703925,238,307,307,1776,"Traced","Roughly traced",510547007,FALSE,"M_lPNm11B_R","M_lPNm11B","AVM02","AL-mPN4 (Tanaka et al. JCN 2012) projection to LH/PLP; VP1l++ lPN (Marin et al. Curr Biol 2020)",TRUE,"ALl1_dorsal","BAlc_dorsal","AVM02","M_lPNm11B",2.624,3,"57442","good","(120532.405, 58460.4425, 1879)","720575940618975152",NA,NA,NA,NA,"ASB",NA
"32",850708902,357,642,642,2694,"Traced","Roughly traced",607994160,FALSE,"M_lPNm11C_R","M_lPNm11C","AVM02","AL-mPN4 (Tanaka et al. JCN 2012) no projection down to PLP",TRUE,"ALl1_dorsal","BAlc_dorsal","AVM02","M_lPNm11C",2.577,3,"57467","good","(118144.905, 58580.2225, 1620)","720575940618048532",NA,NA,NA,NA,"ASB",NA
"33",1825085656,373,1290,1290,2184,"Traced","Roughly traced",578488068,FALSE,"M_lPNm11D_R","M_lPNm11D","AVM02","AL-mPN4 (Tanaka et al. JCN 2012) no projection down to PLP; VP1d++ lPN1 (Marin et al. Curr Biol 2020)",TRUE,"ALl1_dorsal","BAlc_dorsal","AVM02","M_lPNm11D",2.537,3,"57446","good","(123808.825, 55030.04, 2691)","720575940614750779",NA,NA,NA,NA,"ASB",NA
"34",1827861966,349,1129,1129,2345,"Traced","Roughly traced",542231433,FALSE,"M_lPNm11D_R","M_lPNm11D","AVM02","AL-mPN4 (Tanaka et al. JCN 2012) no projection down to PLP; VP1d++ lPN1 (Marin et al. Curr Biol 2020)",TRUE,"ALl1_dorsal","BAlc_dorsal","AVM02","M_lPNm11D",2.593,3,"182684","good","(113325.36, 58617.32, 1416)","720575940633252344",NA,NA,NA,NA,"ASB",NA
"35",1857148391,362,1280,1280,2324,"Traced","Roughly traced",548629898,FALSE,"M_lPNm11D_R","M_lPNm11D","AVM02","AL-mPN4 (Tanaka et al. JCN 2012) no projection down to PLP; VP1d++ lPN1 (Marin et al. Curr Biol 2020)",TRUE,"ALl1_dorsal","BAlc_dorsal","AVM02","M_lPNm11D",2.559,3,"57426","good","(123416.05, 55176.645, 2690)","720575940643202670",NA,NA,NA,NA,"ASB",NA
"36",1887163927,360,1223,1223,2112,"Traced","Roughly traced",576862151,FALSE,"M_lPNm11D_R","M_lPNm11D","AVM02","AL-mPN4 (Tanaka et al. JCN 2012) no projection down to PLP; VP1d++ lPN1 (Marin et al. Curr Biol 2020)",TRUE,"ALl1_dorsal","BAlc_dorsal","AVM02","M_lPNm11D",2.569,3,"37212","good","(120701.29, 58521.5975, 1926)","720575940602372576",NA,NA,NA,NA,"ASB",NA
"37",1917188956,436,1156,1156,2752,"Traced","Roughly traced",696991847,FALSE,"M_lPNm11D_R","M_lPNm11D","AVM02","AL-mPN4 (Tanaka et al. JCN 2012) no projection down to PLP; VP1d++ lPN1 (Marin et al. Curr Biol 2020)",TRUE,"ALl1_dorsal","BAlc_dorsal","AVM02","M_lPNm11D",2.565,3,"37235","good","(117057.2, 58401.6375, 1501)","720575940612223168",NA,NA,NA,NA,"ASB",NA
"38",1856833015,273,523,523,2154,"Traced","Roughly traced",564905219,FALSE,"M_lPNm12_R","M_lPNm12","AVM02",NA,TRUE,"ALl1_dorsal","BAlc_dorsal","AVM02","M_lPNm12",2.704,3,"57394","good","(117984.45, 57556.78, 1528)","720575940621626551",NA,NA,NA,NA,"ASB",NA
