"","bodyid","pre","post","upstream","downstream","status","statusLabel","voxels","cropped","name","type","cellBodyFiber","notes","soma"
"84",850708783,137,430,430,706,"Traced","Roughly traced",393131700,FALSE,"M_lvPNm48_R","M_lvPNm48","AVM06","VP2+VP5 lvPN (Marin et al. Curr Biol 2020)",TRUE
"85",5812982656,1001,2039,2039,10517,"Traced","Roughly traced",2208384507,FALSE,"M_smPN6t2_L","M_smPN6t2","AVM19","VP1m++ smPN (Marin et al. Curr Biol 2020)",TRUE
"86",763730414,662,1191,1191,5657,"Traced","Roughly traced",1686501215,FALSE,"M_smPNm1_L","M_smPNm1","AVM19","VP3+ smPN (Marin et al. Curr Biol 2020)",TRUE
"87",1316245799,1245,2673,2673,11291,"Traced","Roughly traced",3127248565,FALSE,"M_spPN4t9_R","M_spPN4t9","PVM01","AL-t4PN1 (Tanaka et al. JCN 2012)",TRUE
"88",731690040,643,519,519,5397,"Traced","Roughly traced",1513501623,FALSE,"M_spPN5t10(PVM01)_L","M_spPN5t10",NA,NA,TRUE
"89",1733370882,282,1690,1690,1126,"Traced","Roughly traced",1548404584,FALSE,"M_spPN5t10_R","M_spPN5t10","PVM01",NA,TRUE
"90",610274029,754,5673,5673,7494,"Traced","Roughly traced",2547366717,FALSE,"M_vPNml50_R","M_vPNml50","AVM04",NA,TRUE
"91",610274046,808,6320,6320,8043,"Traced","Roughly traced",2183901045,FALSE,"M_vPNml50_R","M_vPNml50","AVM04",NA,FALSE
"92",2383731281,233,720,720,2229,"Traced","Roughly traced",535235283,FALSE,"M_vPNml51_R","M_vPNml51","AVM04",NA,FALSE
"93",823037476,172,734,734,1738,"Traced","Roughly traced",593980590,FALSE,"M_vPNml52_R","M_vPNml52","AVM04",NA,TRUE
"94",1570685224,142,209,209,1406,"Traced","Roughly traced",312186973,FALSE,"M_vPNml53_R","M_vPNml53","AVM04",NA,FALSE
"95",294792184,92,348,348,730,"Traced","Roughly traced",424947333,FALSE,"M_vPNml53_R","M_vPNml53","AVM04",NA,TRUE
"96",5813008771,119,299,299,1055,"Traced","Roughly traced",426478538,FALSE,"M_vPNml53_R","M_vPNml53","AVM04",NA,TRUE
"97",1570684665,114,145,145,1080,"Traced","Roughly traced",234022103,FALSE,"M_vPNml54_R","M_vPNml54","AVM04",NA,FALSE
"98",1570685033,100,234,234,933,"Traced","Roughly traced",253907772,FALSE,"M_vPNml54_R","M_vPNml54","AVM04",NA,FALSE
"99",886812643,438,788,788,4915,"Traced","Roughly traced",973721883,FALSE,"M_vPNml55_R","M_vPNml55","AVM04",NA,TRUE
"100",667823920,159,312,312,1731,"Traced","Roughly traced",590836251,FALSE,"M_vPNml56_R","M_vPNml56","AVM04",NA,TRUE
"101",1069929827,180,235,235,1879,"Traced","Roughly traced",426671218,FALSE,"M_vPNml57_R","M_vPNml57","AVM04",NA,TRUE
"102",5813034081,185,241,241,1921,"Traced","Roughly traced",564336592,FALSE,"M_vPNml58_R","M_vPNml58","AVM04",NA,TRUE
"103",634707780,176,257,257,1987,"Traced","Roughly traced",442795621,FALSE,"M_vPNml58_R","M_vPNml58","AVM04",NA,FALSE
"104",636418270,175,204,204,1913,"Traced","Roughly traced",428282100,FALSE,"M_vPNml58_R","M_vPNml58","AVM04",NA,FALSE
"105",792616185,178,250,250,1973,"Traced","Roughly traced",420780875,FALSE,"M_vPNml59_R","M_vPNml59","AVM04",NA,FALSE
"106",5812983053,157,326,326,1698,"Traced","Roughly traced",304276589,FALSE,"M_vPNml60_R","M_vPNml60","AVM04","VP1d++ vPN (Marin et al. Curr Biol 2020)",FALSE
"107",975457916,151,298,298,1477,"Traced","Roughly traced",242629315,FALSE,"M_vPNml60_R","M_vPNml60","AVM04","VP1d++ vPN (Marin et al. Curr Biol 2020)",FALSE
"108",976830572,155,399,399,1676,"Traced","Roughly traced",274464747,FALSE,"M_vPNml60_R","M_vPNml60","AVM04","VP1d++ vPN (Marin et al. Curr Biol 2020)",FALSE
"109",1039237469,146,380,380,1842,"Traced","Roughly traced",259513076,FALSE,"M_vPNml61_R","M_vPNml61","AVM04","VP1d+VP1l vPN (Marin et al. Curr Biol 2020)",FALSE
"110",1070613107,116,341,341,1242,"Traced","Roughly traced",305293744,FALSE,"M_vPNml61_R","M_vPNml61","AVM04",NA,TRUE
"111",947513805,105,311,311,1024,"Traced","Roughly traced",231092492,FALSE,"M_vPNml62_R","M_vPNml62","AVM04","VP1m+VP1d vPN (Marin et al. Curr Biol 2020)",FALSE
"112",1415825344,311,1481,1481,3311,"Traced","Roughly traced",903842449,FALSE,"M_vPNml63_R","M_vPNml63","AVM04",NA,TRUE
"113",1857143769,318,2085,2085,2931,"Traced","Roughly traced",1004679993,FALSE,"M_vPNml63_R","M_vPNml63","AVM04",NA,TRUE
"114",1099911913,269,1476,1476,2176,"Traced","Roughly traced",911961096,FALSE,"M_vPNml64_R","M_vPNml64","AVM04",NA,TRUE
"115",1322012611,276,792,792,2075,"Traced","Roughly traced",891226075,FALSE,"M_vPNml64_R","M_vPNml64","AVM04",NA,TRUE
"116",5813041247,279,544,544,2271,"Traced","Roughly traced",547335100,FALSE,"M_vPNml65_R","M_vPNml65","AVM04",NA,FALSE
"117",977866721,234,594,594,1854,"Traced","Roughly traced",506915032,FALSE,"M_vPNml65_R","M_vPNml65","AVM04",NA,FALSE
"118",1322353714,90,247,247,860,"Traced","Roughly traced",343171710,FALSE,"M_vPNml66_R","M_vPNml66","AVM04","VP1m++ vPN (Marin et al. Curr Biol 2020)",TRUE
