"","bodyid","ItoLee_Hemilineage","Hartenstein_Hemilineage","cellBodyFiber","cell.type","layer","ct.layer","FAFB.match","FAFB.match.quality","flywire.xyz","flywire.id","LM.match","LM.match.quality","CATMAID.nblast.top","flywire.nblast.top","User","note"
"48",1943811511,"ALlv1","BAlp4","AVM06","M_lvPNm31",2.835,3,"56983","good","(120150.61, 62287.745, 1834)","720575940643320697",NA,NA,NA,NA,"ASB",NA
"49",329599710,"ALlv1","BAlp4","AVM06","M_lvPNm32",2.683,3,"177656","good","(119314.5075, 62350.335, 1936)","720575940627471354",NA,NA,NA,NA,"ASB",NA
"50",1759999022,"ALlv1","BAlp4","AVM06","M_lvPNm33",2.462,2,"1136923","good","(119447.775, 62221.1, 1936)","720575940613239711",NA,NA,NA,NA,"ASB",NA
"51",5813069532,"ALlv1","BAlp4","AVM06","M_lvPNm34",2.357,2,"5494609","good","(120211.75, 62233.25, 1993)","720575940604974978",NA,NA,NA,NA,"ASB",NA
"52",1670597454,"ALlv1","BAlp4","AVM06","M_lvPNm35",2.296,2,"57196","good","(118572.46, 60805.2775, 2118)","720575940615535296",NA,NA,NA,NA,"ASB",NA
"53",5812995298,"ALlv1","BAlp4","AVM06","M_lvPNm35",2.416,2,"57007","good","(117972.765, 60843.2625, 2092)","720575940612603072",NA,NA,NA,NA,"ASB",NA
"54",417199910,"ALlv1","BAlp4","AVM06","M_lvPNm36",2.105,2,"57216","good","(118830.22, 60774.71, 2130)","720575940612695488",NA,NA,NA,NA,"ASB",NA
"55",5812992942,"ALlv1","BAlp4","AVM06","M_lvPNm37",2.104,2,"5169854","good","(106341.79, 29019.025, 4637)","720575940618895169",NA,NA,NA,NA,"ASB",NA
"56",5901194250,"ALlv1","BAlp4","AVM06","M_lvPNm37",2.191,2,"57212","good","(117851.5, 61089.5, 2129)","720575940612214464",NA,NA,NA,NA,"ASB",NA
"57",5901194556,"ALlv1","BAlp4","AVM06","M_lvPNm37",2.116,2,"57171","good","(117864.5, 61389.5, 2118)","720575940623910693",NA,NA,NA,NA,"ASB",NA
"58",1504889437,"ALlv1","BAlp4","AVM06","M_lvPNm38",2.077,2,"57015","good","(119554.025, 61280.65, 2171)","720575940615769757",NA,NA,NA,NA,"ASB",NA
