"","query","post_id","weight","n","type","xyz"
"275","720575940617683505","720575940610073328",9,1,NA,NA
"276","720575940617683505","720575940612947484",9,1,NA,NA
"277","720575940617683505","720575940613835968",9,1,NA,NA
"278","720575940617683505","720575940614884411",9,1,"SLP165","(99050.695, 33591.105, 3307)"
"279","720575940617683505","720575940621358766",9,1,NA,NA
"280","720575940617683505","720575940624732697",9,1,NA,NA
"281","720575940617683505","720575940625530133",9,1,"SIP090","(100466.93, 35257.34, 3891)"
"282","720575940617683505","720575940627723008",9,1,NA,NA
"283","720575940617683505","720575940634888816",9,1,NA,NA
"284","720575940617683505","720575940637507491",9,1,"LHAD1b2_d","(95076.5, 37522.125, 3435)"
"285","720575940621453094","720575940460900277",9,1,NA,NA
"286","720575940621453094","720575940585911569",9,1,NA,NA
"287","720575940621453094","720575940613550160",9,1,NA,NA
"288","720575940621453094","720575940613797284",9,1,NA,NA
"289","720575940621453094","720575940614177565",9,1,NA,NA
"290","720575940621453094","720575940618076251",9,1,NA,NA
"291","720575940621453094","720575940624284700",9,1,NA,NA
"292","720575940621453094","720575940624587928",9,1,NA,NA
"293","720575940621453094","720575940625037181",9,1,"DN","(132783, 82989, 5798)"
"294","720575940621453094","720575940626087068",9,1,NA,NA
"295","720575940621453094","720575940626517520",9,1,NA,NA
"296","720575940621453094","720575940649173121",9,1,NA,NA
"297","720575940621453094","720575940649235585",9,1,NA,NA
"298","720575940634787246","720575940585413875",8,1,NA,NA
"299","720575940634787246","720575940590199101",8,1,NA,NA
"300","720575940634787246","720575940590208829",8,1,NA,NA
"301","720575940634787246","720575940593653554",8,1,NA,NA
"302","720575940634787246","720575940594267043",8,1,NA,NA
"303","720575940634787246","720575940610521288",8,1,NA,NA
"304","720575940634787246","720575940612994752",8,1,NA,NA
"305","720575940634787246","720575940621162599",8,1,NA,NA
"306","720575940634787246","720575940621300265",8,1,NA,NA
"307","720575940634787246","720575940622726658",8,1,NA,NA
"308","720575940634787246","720575940625530133",8,1,"SIP090","(100466.93, 35257.34, 3891)"
"309","720575940634787246","720575940628127460",8,1,"SMP011","(120956.445, 34736.7075, 2086)"
"310","720575940619141814","720575940558740996",8,1,NA,NA
"311","720575940619141814","720575940579087433",8,1,NA,NA
"312","720575940619141814","720575940579296585",8,1,NA,NA
"313","720575940619141814","720575940593001660",8,1,NA,NA
"314","720575940619141814","720575940595255447",8,1,NA,NA
"315","720575940619141814","720575940602423064",8,1,NA,NA
"316","720575940619141814","720575940602796668",8,1,NA,NA
"317","720575940619141814","720575940609347927",8,1,NA,NA
"318","720575940619141814","720575940610290841",8,1,NA,NA
"319","720575940619141814","720575940610491562",8,1,"M_vPNml51_L","156794, 46623, 2817"
"320","720575940619141814","720575940611460589",8,1,NA,NA
"321","720575940619141814","720575940613206948",8,1,NA,NA
"322","720575940619141814","720575940613208996",8,1,NA,NA
"323","720575940619141814","720575940616909086",8,1,NA,NA
"324","720575940619141814","720575940617344798",8,1,NA,NA
"325","720575940619141814","720575940620998652",8,1,NA,NA
"326","720575940619141814","720575940621381260",8,1,NA,NA
"327","720575940619141814","720575940621519507",8,1,NA,NA
"328","720575940619141814","720575940621815549",8,1,NA,NA
"329","720575940619141814","720575940625333818",8,1,NA,NA
"330","720575940619141814","720575940626517520",8,1,NA,NA
"331","720575940619141814","720575940627971799",8,1,NA,NA
"332","720575940619141814","720575940631472339",8,1,NA,NA
"333","720575940619141814","720575940631539993",8,1,"M_vPNml50_L","157220, 46897, 2817"
"334","720575940619141814","720575940631704928",8,1,NA,NA
"335","720575940619141814","720575940631849824",8,1,NA,NA
"336","720575940619141814","720575940631914592",8,1,NA,NA
"337","720575940619141814","720575940633948661",8,1,NA,NA
"338","720575940619141814","720575940638566875",8,1,NA,NA
"339","720575940619141814","720575940648895873",8,1,NA,NA
"340","720575940617683505","720575940599605239",8,1,NA,NA
"341","720575940617683505","720575940603256591",8,1,NA,NA
"342","720575940617683505","720575940604503485",8,1,NA,NA
"343","720575940617683505","720575940611745182",8,1,NA,NA
"344","720575940617683505","720575940612350718",8,1,NA,NA
"345","720575940617683505","720575940614892736",8,1,NA,NA
