"","query","post_id","weight","n","type","xyz"
"90","720575940637785507","720575940614961088",16,1,NA,NA
"91","720575940637785507","720575940621398154",16,1,"ATL041","(120263.3825, 32527.47, 3808)"
"92","720575940637785507","720575940621737397",16,1,NA,NA
"93","720575940637785507","720575940626248522",16,1,NA,NA
"94","720575940637785507","720575940631503421",16,1,NA,NA
"95","720575940603948478","720575940624760965",15,1,NA,NA
"96","720575940603948478","720575940632949867",15,1,NA,NA
"97","720575940637785507","720575940614635456",15,1,NA,NA
"98","720575940637785507","720575940624449794",15,1,"DP1m_adPN","(100247.975, 33377.4, 4681)"
"99","720575940637785507","720575940626155182",15,1,NA,NA
"100","720575940637785507","720575940627567095",15,1,NA,NA
"101","720575940637785507","720575940629974948",15,1,NA,NA
"102","720575940637785507","720575940639404161",15,1,NA,NA
"103","720575940603948478","720575940611072995",14,1,NA,NA
"104","720575940603948478","720575940612491006",14,1,NA,NA
"105","720575940603948478","720575940620071804",14,1,NA,NA
"106","720575940603948478","720575940624844602",14,1,NA,NA
"107","720575940637785507","720575940615841826",14,1,NA,NA
"108","720575940637785507","720575940633022436",14,1,NA,NA
"109","720575940603948478","720575940613165890",13,1,NA,NA
"110","720575940603948478","720575940622204936",13,1,NA,NA
"111","720575940603948478","720575940642714916",13,1,"ALIN1","(129337.525, 40264.87, 3862)"
"112","720575940637785507","720575940610046387",13,1,"CL100","(88935.5, 46521.0075, 4379)"
"113","720575940637785507","720575940610247594",13,1,NA,NA
"114","720575940637785507","720575940610423792",13,1,NA,NA
"115","720575940637785507","720575940630426067",13,1,NA,NA
"116","720575940637785507","720575940636058970",13,1,NA,NA
"117","720575940603948478","720575940617133972",12,1,NA,NA
"118","720575940603948478","720575940633561199",12,1,NA,NA
"119","720575940603948478","720575940638426064",12,1,"il3LN6","(123456.25, 83791.75, 2704)"
"120","720575940637785507","720575940613908065",12,1,NA,NA
"121","720575940637785507","720575940614467472",12,1,NA,NA
"122","720575940637785507","720575940614516112",12,1,NA,NA
"123","720575940637785507","720575940616466390",12,1,NA,NA
"124","720575940637785507","720575940617081240",12,1,NA,NA
"125","720575940637785507","720575940618601966",12,1,"M_vPNml57","(116252.975, 59805.6325, 1866)"
"126","720575940637785507","720575940618908531",12,1,NA,NA
"127","720575940637785507","720575940619401910",12,1,NA,NA
