"","query","pre_id","weight","n","type","xyz"
"227","720575940643267950","720575940618045573",15,1,"VA5_lPN","(97400.1325, 33058.085, 4543)"
"228","720575940643267950","720575940620447870",15,1,NA,NA
"229","720575940643267950","720575940628320463",15,1,"DA2_lPN","(117673.14, 57303.9525, 1469)"
"230","720575940643267950","720575940632901565",15,1,NA,NA
"231","720575940611933905","720575940603890694",15,1,NA,NA
"232","720575940611933905","720575940613444914",15,1,NA,NA
"233","720575940611933905","720575940615777307",15,1,NA,NA
"234","720575940611933905","720575940618325982",15,1,NA,NA
"235","720575940611933905","720575940636959905",15,1,NA,NA
"236","720575940643268206","720575940605078658",15,1,"MBON03","135876,24577,1491"
"237","720575940643268206","720575940612381189",15,1,NA,NA
"238","720575940643268206","720575940625706383",15,1,"VA5_lPN","(115045.875, 61460.3275, 1454)"
"239","720575940643268206","720575940630171581",15,1,NA,NA
"240","720575940631539993","720575940605564102",15,1,NA,NA
"241","720575940631539993","720575940611224349",15,1,NA,NA
"242","720575940631539993","720575940615956245",15,1,NA,NA
"243","720575940631539993","720575940619925053",15,1,NA,NA
"244","720575940631539993","720575940629826152",15,1,NA,NA
"245","720575940631539993","720575940638426064",15,1,"il3LN6","(123456.25, 83791.75, 2704)"
"246","720575940643267950","720575940603754016",14,1,"ALBN1_L","136187, 57831, 2058"
"247","720575940643267950","720575940606623411",14,1,NA,NA
"248","720575940643267950","720575940607667762",14,1,NA,NA
"249","720575940643267950","720575940611235053",14,1,"VC1_lPN","(95635.78, 33065.5425, 4570)"
"250","720575940643267950","720575940614682153",14,1,NA,NA
"251","720575940643267950","720575940618802761",14,1,NA,NA
"252","720575940643267950","720575940621094378",14,1,"DM6_adPN","(122909.835, 55771.5675, 1223)"
"253","720575940643267950","720575940627606483",14,1,"VM5d_adPN","(110241.04, 33335.6125, 4740)"
"254","720575940643267950","720575940652802721",14,1,"v2LN30","(115565.75, 61678.5, 1571)"
"255","720575940611933905","720575940600341958",14,1,NA,NA
"256","720575940611933905","720575940600735942",14,1,NA,NA
"257","720575940611933905","720575940607138502",14,1,NA,NA
"258","720575940611933905","720575940620033935",14,1,NA,NA
"259","720575940611933905","720575940625402501",14,1,NA,NA
"260","720575940611933905","720575940631372021",14,1,NA,NA
"261","720575940611933905","720575940631472339",14,1,NA,NA
"262","720575940611933905","720575940631794969",14,1,NA,NA
"263","720575940611933905","720575940653360769",14,1,NA,NA
