"","query","post_id","weight","n","type","xyz"
"69","720575940643267950","720575940620029102",32,1,NA,NA
"70","720575940643267950","720575940620633224",32,1,"LHAV1a3","(87156.57, 63990.025, 3158)"
"71","720575940643267950","720575940647541369",32,1,NA,NA
"72","720575940611933905","720575940627610624",32,1,NA,NA
"73","720575940643268206","720575940613340096",31,1,NA,NA
"74","720575940643268206","720575940616587328",31,1,NA,NA
"75","720575940611933905","720575940611764520",31,1,"LHCENT1#1","178843, 46992, 3248"
"76","720575940611933905","720575940624948869",31,1,NA,NA
"77","720575940611933905","720575940626085116",31,1,NA,NA
"78","720575940643268206","720575940636499270",30,1,"LHPV4g1","(92994.8, 39018.85, 4770)"
"79","720575940631539993","720575940624587928",29,1,NA,NA
"80","720575940631539993","720575940631472339",29,1,NA,NA
"81","720575940643268206","720575940614485051",29,1,NA,NA
"82","720575940643268206","720575940621101252",29,1,"mALB3","(122639.5, 63448.75, 2347)"
"83","720575940643267950","720575940621205226",28,1,"LHAV1c1","(93248.725, 46011.7025, 3651)"
"84","720575940643267950","720575940657714817",28,1,"APL","83385,47148,3645"
"85","720575940631539993","720575940604985474",28,1,NA,NA
"86","720575940643268206","720575940624512514",28,1,"WEDPN2A","(100799.43, 61735.0075, 4274)"
"87","720575940631539993","720575940620881421",27,1,"LHCENT2#1","177025, 48094, 2746"
"88","720575940643268206","720575940633572463",27,1,"LHAV1a3","(93201.415, 48798.0425, 3510)"
"89","720575940611933905","720575940620852173",27,1,"APL","179335,51076,2961"
"90","720575940643267950","720575940611648209",26,1,"LHAV1a3","(92769.555, 45457.95, 3635)"
"91","720575940631539993","720575940603332710",26,1,NA,NA
"92","720575940631539993","720575940637579352",26,1,NA,NA
"93","720575940643268206","720575940628319831",26,1,"LHAV1a1","(91781.2425, 46267.8325, 3868)"
"94","720575940611933905","720575940603332710",26,1,NA,NA
"95","720575940611933905","720575940632837537",25,1,NA,NA
"96","720575940643267950","720575940605078658",24,1,"MBON03","135876,24577,1491"
"97","720575940631539993","720575940619106804",24,1,NA,NA
"98","720575940631539993","720575940626085116",24,1,NA,NA
"99","720575940631539993","720575940627971799",24,1,NA,NA
"100","720575940631539993","720575940632837537",24,1,NA,NA
"101","720575940631539993","720575940638140661",24,1,NA,NA
"102","720575940643268206","720575940621205226",24,1,"LHAV1c1","(93248.725, 46011.7025, 3651)"
"103","720575940643268206","720575940647541369",24,1,NA,NA
"104","720575940631539993","720575940630448736",23,1,NA,NA
"105","720575940631539993","720575940638016757",23,1,NA,NA
"106","720575940643268206","720575940605078658",23,1,"MBON03","135876,24577,1491"
"107","720575940611933905","720575940624171838",23,1,"M_spPN4t9_L","141877, 66873, 2125"
"108","720575940611933905","720575940637765208",23,1,NA,NA
"109","720575940631539993","720575940630718381",22,1,NA,NA
"110","720575940643268206","720575940636659253",22,1,"LHPV2a1_e","(94400.04, 41866.4325, 4462)"
"111","720575940611933905","720575940618026405",22,1,NA,NA
"112","720575940643267950","720575940634552750",21,1,"LHAV1a1","(93273.265, 48076.035, 3758)"
"113","720575940631539993","720575940590638421",21,1,NA,NA
"114","720575940631539993","720575940618026405",21,1,NA,NA
"115","720575940643268206","720575940622705703",21,1,"LHAV2b1","(93074.925, 45452.89, 3971)"
"116","720575940643268206","720575940630869293",21,1,NA,NA
"117","720575940611933905","720575940627971799",21,1,NA,NA
"118","720575940631539993","720575940619185908",20,1,NA,NA
"119","720575940631539993","720575940620852173",20,1,"APL","179335,51076,2961"
"120","720575940631539993","720575940624671388",20,1,NA,NA
