"","query","post_id","weight","n","type","xyz"
"374","720575940628000567","720575940619418294",6,1,"LHPD2a6","(100784.235, 36849.255, 3879)"
"375","720575940628000567","720575940620711949",6,1,NA,NA
"376","720575940628000567","720575940621392678",6,1,NA,NA
"377","720575940628000567","720575940622090677",6,1,"M_vPNml55","(113330.1875, 62634.845, 1628)"
"378","720575940628000567","720575940623359632",6,1,NA,NA
"379","720575940628000567","720575940623455632",6,1,NA,NA
"380","720575940628000567","720575940623923146",6,1,NA,NA
"381","720575940628000567","720575940624245196",6,1,NA,NA
"382","720575940628000567","720575940626270824",6,1,NA,NA
"383","720575940628000567","720575940626311743",6,1,NA,NA
"384","720575940628000567","720575940626369499",6,1,NA,NA
"385","720575940628000567","720575940626381787",6,1,NA,NA
"386","720575940628000567","720575940628258007",6,1,NA,NA
"387","720575940628000567","720575940630170655",6,1,NA,NA
"388","720575940628000567","720575940630682963",6,1,NA,NA
"389","720575940628000567","720575940633339572",6,1,NA,NA
"390","720575940628000567","720575940634217061",6,1,NA,NA
"391","720575940628000567","720575940636129077",6,1,NA,NA
"392","720575940628000567","720575940636914485",6,1,NA,NA
"393","720575940628000567","720575940638188068",6,1,NA,NA
"394","720575940628000567","720575940638236196",6,1,NA,NA
"395","720575940628000567","720575940639671425",6,1,NA,NA
"396","720575940628000567","720575940646495353",6,1,NA,NA
"397","720575940628000567","720575940647541369",6,1,NA,NA
"398","720575940616624182","720575940450790838",6,1,NA,NA
"399","720575940616624182","720575940479128651",6,1,NA,NA
"400","720575940616624182","720575940486612368",6,1,NA,NA
"401","720575940616624182","720575940594789120",6,1,NA,NA
"402","720575940616624182","720575940600136787",6,1,NA,NA
"403","720575940616624182","720575940600742404",6,1,NA,NA
"404","720575940616624182","720575940600774404",6,1,NA,NA
"405","720575940616624182","720575940600785668",6,1,NA,NA
"406","720575940616624182","720575940601851542",6,1,NA,NA
"407","720575940616624182","720575940601852054",6,1,NA,NA
"408","720575940616624182","720575940602114464",6,1,NA,NA
"409","720575940616624182","720575940605130269",6,1,"LHPV2i2","(99411.055, 51324.3675, 4557)"
"410","720575940616624182","720575940606937045",6,1,NA,NA
"411","720575940616624182","720575940607186572",6,1,NA,NA
"412","720575940616624182","720575940608487288",6,1,NA,NA
"413","720575940616624182","720575940609930389",6,1,"LHPV5g1_b","(102263.75, 36917.3875, 4817)"
"414","720575940616624182","720575940610379493",6,1,NA,NA
"415","720575940616624182","720575940612654050",6,1,NA,NA
"416","720575940616624182","720575940613275120",6,1,NA,NA
"417","720575940616624182","720575940615024509",6,1,NA,NA
"418","720575940616624182","720575940615065220",6,1,NA,NA
"419","720575940616624182","720575940616143645",6,1,NA,NA
"420","720575940616624182","720575940616857657",6,1,NA,NA
"421","720575940616624182","720575940616898177",6,1,NA,NA
"422","720575940616624182","720575940618107739",6,1,NA,NA
"423","720575940616624182","720575940618644134",6,1,NA,NA
"424","720575940616624182","720575940620070313",6,1,"LHAV3e1","(86565.75, 43464.2025, 4293)"
"425","720575940616624182","720575940622014849",6,1,NA,NA
"426","720575940616624182","720575940623336080",6,1,NA,NA
"427","720575940616624182","720575940623678000",6,1,NA,NA
"428","720575940616624182","720575940623925248",6,1,NA,NA
"429","720575940616624182","720575940624251463",6,1,NA,NA
"430","720575940616624182","720575940625403967",6,1,NA,NA
"431","720575940616624182","720575940628815301",6,1,NA,NA
"432","720575940616624182","720575940629449017",6,1,NA,NA
"433","720575940616624182","720575940629450040",6,1,NA,NA
"434","720575940616624182","720575940634552750",6,1,"LHAV1a1","(93273.265, 48076.035, 3758)"
"435","720575940616624182","720575940636659253",6,1,"LHPV2a1_e","(94400.04, 41866.4325, 4462)"
"436","720575940616624182","720575940637426749",6,1,NA,NA
"437","720575940616624182","720575940637680189",6,1,NA,NA
"438","720575940616624182","720575940637875492",6,1,NA,NA
"439","720575940616624182","720575940638226212",6,1,NA,NA
"440","720575940616624182","720575940639141064",6,1,NA,NA
"441","720575940616624182","720575940639957889",6,1,NA,NA
